naics,enduse_cat,not_total,end_use,total,net_electricity,fuel_oil,diesel,natural_gas,NGL_HGL,coal,other
321,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,26,11,0,7,6,2,0,0
321,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,0.03,0,0,0.01,0.01,0.01,0,0
321,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,12.02,6,0,0.01,6,0.01,0,0
321,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,4,4,0,0,0,0,0,0
321,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,9.02,0.01,0,7,0.01,2,0,0
321,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,1.03,1,0,0.01,0.01,0.01,0,0
321,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,0.04,0.01,0,0.01,0.01,0.01,0,0
321,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,95.04,60,0.03,2,32,1,0.01,0
321,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,0.01,0.01,0,0,0,0,0,0
321,Direct Uses-Total Process,TRUE,Machine Drive,57.02,54,0.01,1,2,0.01,0,0
321,Direct Uses-Total Process,TRUE,Other Process Use,4,1,0.01,0.98,2,0.01,0,0
321,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,1.02,1,0,0.01,0.01,0,0,0
321,Direct Uses-Total Process,TRUE,Process Heating,33.03,4,0.01,0.01,28,1,0.01,0
321,End Use Not Reported,FALSE,End Use Not Reported,250,1,0,0.98,0.01,0.01,0,248
321,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,13.04,1,0,0.02,11,0.02,1,0
321,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,7.03,0,0,0.01,7,0.01,0.01,0
321,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,5.03,1,0,0.01,4,0.01,0.01,0
321,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,384,73,0.03,10,49,3,1,248
322,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,47.03,19,0.03,2,22,2,2,0
322,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,5.03,0,0.01,0.01,3,0.01,2,0
322,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,25.04,8,0.01,0.01,17,0.01,0.01,0
322,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,8,8,0,0,0,0,0,0
322,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,5.01,1,0,1.96,0.01,2,0,0
322,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,4.02,2,0,0.01,2,0.01,0,0
322,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,0.05,0.01,0.01,0.01,0.01,0.01,0,0
322,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,319.06,165,4,0.5,143,0.5,7,0
322,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,2,2,0,0,0,0,0,0
322,Direct Uses-Total Process,TRUE,Machine Drive,159.04,142,0.01,0.166666667,17,0.166666667,0.01,0
322,Direct Uses-Total Process,TRUE,Other Process Use,16.02,11,0,0.166666667,3,0.166666667,2,0
322,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,4.01,4,0,0,0.01,0,0,0
322,Direct Uses-Total Process,TRUE,Process Heating,140.02,8,4,0.166666667,123,0.166666667,5,0
322,End Use Not Reported,FALSE,End Use Not Reported,1299,2,0.01,0.01,2.97,0.01,3,1291
322,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,423.01,5,12,2,270,0.4,134,0
322,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,364.01,0,8,2,228,0.4,126,0
322,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,60.01,5,5,0.01,42,0,8,0
322,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,2090,191,17,5,436,3,146,1291
323,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,28.05,14,0,0.05,13,1,0,0
323,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,1.98,0,0,0.01,1.97,0,0,0
323,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,19.02,8,0,0.01,11,0.01,0,0
323,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,4,4,0,0,0,0,0,0
323,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,2.02,1,0,0.01,0.01,1,0,0
323,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,1.03,1,0,0.01,0.01,0.01,0,0
323,Direct Uses-Total Nonprocess,TRUE,Other Nonprocess Use,0.03,0.01,0,0.01,0.01,0,0,0
323,Direct Uses-Total Process,FALSE,Direct Uses-Total Process,50.05,32,0,0.02,18,0.03,0,0
323,Direct Uses-Total Process,TRUE,Electro-Chemical Processes,1,1,0,0,0,0,0,0
323,Direct Uses-Total Process,TRUE,Machine Drive,27.02,26,0,0.01,1,0.01,0,0
323,Direct Uses-Total Process,TRUE,Other Process Use,1.03,1,0,0.01,0.01,0.01,0,0
323,Direct Uses-Total Process,TRUE,Process Cooling and Refrigeration,4.01,4,0,0,0.01,0,0,0
323,Direct Uses-Total Process,TRUE,Process Heating,19.01,2,0,0,17,0.01,0,0
323,End Use Not Reported,FALSE,End Use Not Reported,4.01,2.99,0,0,1,0.01,0,0.01
323,Indirect Uses-Boiler Fuel,FALSE,Indirect Uses-Boiler Fuel,7.06,0.01,0.01,0.02,7,0.02,0,0
323,Indirect Uses-Boiler Fuel,TRUE,CHP and/or Cogeneration Process,3.02,0,0,0.01,3,0.01,0,0
323,Indirect Uses-Boiler Fuel,TRUE,Conventional Boiler Use,4.04,0.01,0.01,0.01,4,0.01,0,0
323,TOTAL FUEL CONSUMPTION,FALSE,TOTAL FUEL CONSUMPTION,89,49,0.01,0.09,39,1,0,0.01
324,Direct Uses-Total Nonprocess,FALSE,Direct Uses-Total Nonprocess,26.07,12,0.01,5,9,0.05,0.01,0
324,Direct Uses-Total Nonprocess,TRUE,Conventional Electricity Generation,3.02,0,0,0.01,3,0.01,0,0
324,Direct Uses-Total Nonprocess,TRUE,Facility HVAC,11.03,6,0.01,0.01,5,0.01,0,0
324,Direct Uses-Total Nonprocess,TRUE,Facility Lighting,4,4,0,0,0,0,0,0
324,Direct Uses-Total Nonprocess,TRUE,Onsite Transportation,4.03,0.01,0,4,0.01,0.01,0,0
324,Direct Uses-Total Nonprocess,TRUE,Other Facility Support,2.03,2,0,0.01,0.01,0.01,0,0
